;Lote 3 (Innovación);;;
Fecha;13/04/2024;;;
Caficultor;Elena Rodriguez;;;
SICA_ID;1056784322;;;
Finca;Los Arrayanes;;;
Region;Cauca, Inzá;;;
Variedad;Pink Bourbon;;;
Proceso;Natural Anaeróbico;;;
Altura_msnm;1920;;;
Peso_Pergamino_Kg;120;;;
Horas_Fermentacion;120;;;
pH_Final;3.5;;;
Brix_Inicial;22.0;;;
Humedad_Pct;11.5;;;
Densidad_gL;730;;;
Peso_Excelso_Kg;97;;;
Peso_Pasilla_Kg;3;;;
Peso_Cisco_Kg;20;;;
Malla_18_Pct;55;;;
Malla_17_Pct;30;;;
Malla_16_Pct;10;;;
Defectos_Totales;1;;;
Color_Grano;Verde Intenso;;;
Fragancia_Aroma;9.00;;;
Sabor;Frutas Rojas, Vino;;;
Acidez;8.75;;;
Cuerpo;8.50;;;
Balance;8.75;;;
Uniformidad;10.0;;;
Taza_Limpia;10.0;;;
Dulzor;10.0;;;
Puntaje_Total;89.50;;;
Notas_Generales;Perfil Exótico;;;
